t,v,r,s
2022-03-10T21:30:28.610-08:00,0,1,128
2022-04-14T09:42:09.891-07:00,0,1,16
2022-04-14T09:44:58.430-07:00,0,0,128
2022-04-14T10:16:31.759-07:00,0,1,128
2022-04-21T20:24:16.867-07:00,0,1,128
2022-05-19T19:26:22.343-07:00,0,0,132
2022-05-19T19:34:09.481-07:00,0,0,128
2022-05-19T19:59:52.128-07:00,0,0,132
2022-05-19T20:06:39.359-07:00,0,0,128
2022-05-19T20:33:14.184-07:00,0,1,128
2022-05-19T20:52:42.030-07:00,0,0,130
2022-05-19T20:55:58.813-07:00,0,0,128
2022-06-16T19:47:48.376-07:00,0,1,128
