t,cu
2021-12-31T22:45-07:00,100.0
2021-12-31T23:00-07:00,100.0
2021-12-31T23:15-07:00,100.0
2021-12-31T23:30-07:00,99.99999999999999
2021-12-31T23:45-07:00,100.0
2022-01-01T00:00-07:00,100.0
2022-01-01T00:15-07:00,100.0
2022-01-01T00:30-07:00,100.0
2022-01-01T00:45-07:00,100.0
2022-01-01T01:00-07:00,100.0
2022-01-01T01:15-07:00,89.13043493284094
2022-01-01T01:30-07:00,100.0
2022-01-01T01:45-07:00,100.0
2022-01-01T02:00-07:00,100.0
2022-01-01T02:15-07:00,104.70587786506204
2022-01-01T02:30-07:00,91.30434806082484
2022-01-01T02:45-07:00,89.20863353776039
2022-01-01T03:00-07:00,100.0
2022-01-01T03:15-07:00,100.0
2022-01-01T03:30-07:00,100.0
2022-01-01T03:45-07:00,100.0
2022-01-01T04:00-07:00,100.0
2022-01-01T04:15-07:00,100.0
2022-01-01T04:30-07:00,105.44746917108708
2022-01-01T04:45-07:00,93.61702105398899
2022-01-01T05:00-07:00,99.99999999999999
2022-01-01T05:15-07:00,100.0
2022-01-01T05:30-07:00,100.0
2022-01-01T05:45-07:00,100.0
2022-01-01T06:00-07:00,100.81632185955438
2022-01-01T06:15-07:00,92.02127667669258
2022-01-01T06:30-07:00,100.0
2022-01-01T06:45-07:00,100.0
2022-01-01T07:00-07:00,100.0
2022-01-01T07:15-07:00,100.0
2022-01-01T07:30-07:00,92.0634923037728
2022-01-01T07:45-07:00,100.0
2022-01-01T08:00-07:00,100.0
2022-01-01T08:15-07:00,100.0
2022-01-01T08:30-07:00,100.0
2022-01-01T08:45-07:00,89.20863279736835
2022-01-01T09:00-07:00,100.0
2022-01-01T09:15-07:00,106.25000139698385
2022-01-01T09:30-07:00,91.11111091978756
2022-01-01T09:45-07:00,99.99999999999999
2022-01-01T10:00-07:00,100.0
2022-01-01T10:15-07:00,100.0
2022-01-01T10:30-07:00,100.0
2022-01-01T10:45-07:00,100.0
2022-01-01T11:00-07:00,89.05109473807752
2022-01-01T11:15-07:00,100.0
2022-01-01T11:30-07:00,88.97058815795245
2022-01-01T11:45-07:00,100.0
2022-01-01T12:00-07:00,100.0
2022-01-01T12:15-07:00,105.88235294117646
2022-01-01T12:30-07:00,100.0
2022-01-01T12:45-07:00,100.0
2022-01-01T13:00-07:00,107.05882414539518
2022-01-01T13:15-07:00,100.0
2022-01-01T13:30-07:00,89.13043455726032
2022-01-01T13:45-07:00,100.0
2022-01-01T14:00-07:00,88.97058815795245
2022-01-01T14:15-07:00,100.0
2022-01-01T14:30-07:00,100.0
2022-01-01T14:45-07:00,100.0
2022-01-01T15:00-07:00,100.0
2022-01-01T15:15-07:00,100.0
2022-01-01T15:30-07:00,88.88888888888889
2022-01-01T15:45-07:00,100.0
2022-01-01T16:00-07:00,100.0
2022-01-01T16:15-07:00,100.0
2022-01-01T16:30-07:00,88.97058815795245
2022-01-01T16:45-07:00,100.0
2022-01-01T17:00-07:00,100.0
2022-01-01T17:15-07:00,100.0
2022-01-01T17:30-07:00,106.25000139698385
2022-01-01T17:45-07:00,91.24087590764522
2022-01-01T18:00-07:00,100.0
2022-01-01T18:15-07:00,100.0
2022-01-01T18:30-07:00,100.0
2022-01-01T18:45-07:00,100.0
2022-01-01T19:00-07:00,100.0
2022-01-01T19:15-07:00,100.0
2022-01-01T19:30-07:00,100.00000000000001
2022-01-01T19:45-07:00,119.30379844250501
2022-01-01T20:00-07:00,105.88235294117646
2022-01-01T20:15-07:00,100.0
2022-01-01T20:30-07:00,100.0
2022-01-01T20:45-07:00,100.0
2022-01-01T21:00-07:00,100.0
2022-01-01T21:15-07:00,100.0
2022-01-01T21:30-07:00,100.0
2022-01-01T21:45-07:00,100.0
2022-01-01T22:00-07:00,100.0
2022-01-01T22:15-07:00,92.10526315789473
2022-01-01T22:30-07:00,100.00000000000001
2022-01-01T22:45-07:00,100.0
2022-01-01T23:00-07:00,91.17647064624154
2022-01-01T23:15-07:00,100.0
2022-01-01T23:30-07:00,100.0
2022-01-01T23:45-07:00,100.0
2022-01-02T00:00-07:00,92.10526315789473
2022-01-02T00:15-07:00,103.6144563546921
2022-01-02T00:30-07:00,100.0
2022-01-02T00:45-07:00,86.86131327793362
2022-01-02T01:00-07:00,100.0
2022-01-02T01:15-07:00,100.0
2022-01-02T01:30-07:00,100.0
2022-01-02T01:45-07:00,100.0
2022-01-02T02:00-07:00,89.13043455726032
2022-01-02T02:15-07:00,89.13043493284094
2022-01-02T02:30-07:00,100.0
2022-01-02T02:45-07:00,100.0
2022-01-02T03:00-07:00,100.0
2022-01-02T03:15-07:00,100.0
2022-01-02T03:30-07:00,100.0
2022-01-02T03:45-07:00,100.0
2022-01-02T04:00-07:00,100.0
2022-01-02T04:15-07:00,100.0
2022-01-02T04:30-07:00,100.0
2022-01-02T04:45-07:00,100.0
2022-01-02T05:00-07:00,100.0
2022-01-02T05:15-07:00,100.0
2022-01-02T05:30-07:00,100.0
2022-01-02T05:45-07:00,100.0
2022-01-02T06:00-07:00,89.20863353776039
2022-01-02T06:15-07:00,100.00000000000001
2022-01-02T06:30-07:00,121.35921862653738
2022-01-02T06:45-07:00,100.0
2022-01-02T07:00-07:00,100.0
2022-01-02T07:15-07:00,100.0
2022-01-02T07:30-07:00,100.0
2022-01-02T07:45-07:00,100.0
2022-01-02T08:00-07:00,100.00000000000001
2022-01-02T08:15-07:00,102.67175855937234
2022-01-02T08:30-07:00,99.99999999999999
2022-01-02T08:45-07:00,105.44746917108708
2022-01-02T09:00-07:00,100.0
2022-01-02T09:15-07:00,100.0
2022-01-02T09:30-07:00,87.14285630352641
2022-01-02T09:45-07:00,100.00000000000001
2022-01-02T10:00-07:00,100.0
2022-01-02T10:15-07:00,100.0
2022-01-02T10:30-07:00,100.0
2022-01-02T10:45-07:00,100.0
2022-01-02T11:00-07:00,100.00000000000001
2022-01-02T11:15-07:00,91.11111091978756
2022-01-02T11:30-07:00,100.00000000000001
2022-01-02T11:45-07:00,100.00000000000001
2022-01-02T12:00-07:00,100.0
2022-01-02T12:15-07:00,100.00000000000001
2022-01-02T12:30-07:00,99.99999999999999
2022-01-02T12:45-07:00,100.0
2022-01-02T13:00-07:00,100.0
2022-01-02T13:15-07:00,100.0
2022-01-02T13:30-07:00,100.0
2022-01-02T13:45-07:00,100.0
2022-01-02T14:00-07:00,100.0
2022-01-02T14:15-07:00,100.00000000000001
2022-01-02T14:30-07:00,100.0
2022-01-02T14:45-07:00,100.0
2022-01-02T15:00-07:00,100.0
2022-01-02T15:15-07:00,100.0
2022-01-02T15:30-07:00,100.0
2022-01-02T15:45-07:00,100.0
2022-01-02T16:00-07:00,90.5759158676508
2022-01-02T16:15-07:00,100.0
2022-01-02T16:30-07:00,100.0
2022-01-02T16:45-07:00,100.0
2022-01-02T17:00-07:00,100.0
2022-01-02T17:15-07:00,100.0
2022-01-02T17:30-07:00,100.0
2022-01-02T17:45-07:00,100.0
2022-01-02T18:00-07:00,89.13043493284094
2022-01-02T18:15-07:00,105.07812194409786
2022-01-02T18:30-07:00,100.0
2022-01-02T18:45-07:00,100.0
2022-01-02T19:00-07:00,88.97058815795245
2022-01-02T19:15-07:00,100.0
2022-01-02T19:30-07:00,99.99999999999999
2022-01-02T19:45-07:00,99.99999999999999
2022-01-02T20:00-07:00,100.0
2022-01-02T20:15-07:00,89.05109511916108
2022-01-02T20:30-07:00,100.0
2022-01-02T20:45-07:00,100.0
2022-01-02T21:00-07:00,100.0
2022-01-02T21:15-07:00,100.0
2022-01-02T21:30-07:00,100.0
2022-01-02T21:45-07:00,96.76113679210533
2022-01-02T22:00-07:00,100.0
2022-01-02T22:15-07:00,100.0
2022-01-02T22:30-07:00,100.0
2022-01-02T22:45-07:00,100.0
2022-01-02T23:00-07:00,106.18181402033026
2022-01-02T23:15-07:00,92.0634919033049
2022-01-02T23:30-07:00,89.05109511916108
2022-01-02T23:45-07:00,100.00000000000001
2022-01-03T00:00-07:00,100.0
2022-01-03T00:15-07:00,100.0
2022-01-03T00:30-07:00,100.0
2022-01-03T00:45-07:00,91.24087560277836
2022-01-03T01:00-07:00,89.13043493284094
2022-01-03T01:15-07:00,89.13043493284094
2022-01-03T01:30-07:00,100.0
2022-01-03T01:45-07:00,100.0
2022-01-03T02:00-07:00,91.30434745989584
2022-01-03T02:15-07:00,91.30434745989584
2022-01-03T02:30-07:00,100.0
2022-01-03T02:45-07:00,123.3226818370559
2022-01-03T03:00-07:00,93.68421056098884
2022-01-03T03:15-07:00,100.0
2022-01-03T03:30-07:00,100.0
2022-01-03T03:45-07:00,100.0
2022-01-03T04:00-07:00,100.0
2022-01-03T04:15-07:00,100.0
2022-01-03T04:30-07:00,90.47619020587463
2022-01-03T04:45-07:00,100.0
2022-01-03T05:00-07:00,100.0
2022-01-03T05:15-07:00,100.0
2022-01-03T05:30-07:00,89.36170169593737
2022-01-03T05:45-07:00,100.0
2022-01-03T06:00-07:00,100.0
2022-01-03T06:15-07:00,100.0
2022-01-03T06:30-07:00,100.0
2022-01-03T06:45-07:00,100.0
2022-01-03T07:00-07:00,100.0
2022-01-03T07:15-07:00,100.0
2022-01-03T07:30-07:00,100.0
2022-01-03T07:45-07:00,100.00000000000001
2022-01-03T08:00-07:00,89.13043493284094
2022-01-03T08:15-07:00,100.0
2022-01-03T08:30-07:00,92.0634919033049
2022-01-03T08:45-07:00,100.0
2022-01-03T09:00-07:00,89.05109473807752
2022-01-03T09:15-07:00,100.0
2022-01-03T09:30-07:00,87.0503593975636
2022-01-03T09:45-07:00,100.0
2022-01-03T10:00-07:00,100.0
2022-01-03T10:15-07:00,100.0
2022-01-03T10:30-07:00,100.0
2022-01-03T10:45-07:00,100.0
2022-01-03T11:00-07:00,89.20863353776039
2022-01-03T11:15-07:00,100.0
2022-01-03T11:30-07:00,100.0
2022-01-03T11:45-07:00,100.0
2022-01-03T12:00-07:00,100.0
2022-01-03T12:15-07:00,100.0
2022-01-03T12:30-07:00,100.0
2022-01-03T12:45-07:00,92.02127667669258
2022-01-03T13:00-07:00,100.0
2022-01-03T13:15-07:00,100.0
2022-01-03T13:30-07:00,100.0
2022-01-03T13:45-07:00,100.0
2022-01-03T14:00-07:00,100.0
2022-01-03T14:15-07:00,100.0
2022-01-03T14:30-07:00,100.0
2022-01-03T14:45-07:00,100.00000000000001
2022-01-03T15:00-07:00,100.0
2022-01-03T15:15-07:00,100.0
2022-01-03T15:30-07:00,100.0
2022-01-03T15:45-07:00,100.0
2022-01-03T16:00-07:00,100.0
2022-01-03T16:15-07:00,100.0
2022-01-03T16:30-07:00,89.20863353776039
2022-01-03T16:45-07:00,100.0
2022-01-03T17:00-07:00,100.0
2022-01-03T17:15-07:00,100.0
2022-01-03T17:30-07:00,100.0
2022-01-03T17:45-07:00,100.0
2022-01-03T18:00-07:00,100.0
2022-01-03T18:15-07:00,100.0
2022-01-03T18:30-07:00,100.0
2022-01-03T18:45-07:00,100.0
2022-01-03T19:00-07:00,100.0
2022-01-03T19:15-07:00,100.0
2022-01-03T19:30-07:00,100.0
2022-01-03T19:45-07:00,100.0
2022-01-03T20:00-07:00,99.99999999999999
2022-01-03T20:15-07:00,100.0
2022-01-03T20:30-07:00,100.0
2022-01-03T20:45-07:00,100.0
2022-01-03T21:00-07:00,100.0
2022-01-03T21:15-07:00,100.0
2022-01-03T21:30-07:00,100.0
2022-01-03T21:45-07:00,100.0
2022-01-03T22:00-07:00,105.88235294117646
2022-01-03T22:15-07:00,100.0
2022-01-03T22:30-07:00,100.0
2022-01-03T22:45-07:00,100.0
2022-01-03T23:00-07:00,100.0
2022-01-03T23:15-07:00,100.0
2022-01-03T23:30-07:00,100.0
2022-01-03T23:45-07:00,100.0
2022-01-04T00:00-07:00,87.0503593975636
2022-01-04T00:15-07:00,100.0
2022-01-04T00:30-07:00,100.0
2022-01-04T00:45-07:00,106.25000139698385
2022-01-04T01:00-07:00,100.0
2022-01-04T01:15-07:00,106.61478876448489
2022-01-04T01:30-07:00,100.0
2022-01-04T01:45-07:00,100.0
2022-01-04T02:00-07:00,92.10526315789473
2022-01-04T02:15-07:00,90.97744354331559
2022-01-04T02:30-07:00,100.0
2022-01-04T02:45-07:00,105.88235294117646
2022-01-04T03:00-07:00,100.0
2022-01-04T03:15-07:00,100.0
2022-01-04T03:30-07:00,100.0
2022-01-04T03:45-07:00,100.0
2022-01-04T04:00-07:00,100.0
2022-01-04T04:15-07:00,100.0
2022-01-04T04:30-07:00,100.0
2022-01-04T04:45-07:00,100.0
2022-01-04T05:00-07:00,100.0
2022-01-04T05:15-07:00,100.0
2022-01-04T05:30-07:00,101.14942234741703
2022-01-04T05:45-07:00,89.05109511916108
2022-01-04T06:00-07:00,87.0503593975636
2022-01-04T06:15-07:00,89.13043493284094
2022-01-04T06:30-07:00,100.0
2022-01-04T06:45-07:00,89.05109473807752
2022-01-04T07:00-07:00,100.0
2022-01-04T07:15-07:00,100.0
2022-01-04T07:30-07:00,100.0
2022-01-04T07:45-07:00,91.24087590764522
2022-01-04T08:00-07:00,100.00000000000001
2022-01-04T08:15-07:00,100.00000000000001
2022-01-04T08:30-07:00,100.0
2022-01-04T08:45-07:00,89.05109473807752
2022-01-04T09:00-07:00,88.97058815795245
2022-01-04T09:15-07:00,100.0
2022-01-04T09:30-07:00,100.0
2022-01-04T09:45-07:00,89.20863279736835
2022-01-04T10:00-07:00,100.0
2022-01-04T10:15-07:00,100.0
2022-01-04T10:30-07:00,100.0
2022-01-04T10:45-07:00,99.99999999999999
2022-01-04T11:00-07:00,100.0
2022-01-04T11:15-07:00,100.0
2022-01-04T11:30-07:00,100.0
2022-01-04T11:45-07:00,100.0
2022-01-04T12:00-07:00,100.0
2022-01-04T12:15-07:00,100.0
2022-01-04T12:30-07:00,100.00000000000001
2022-01-04T12:45-07:00,100.0
2022-01-04T13:00-07:00,100.0
2022-01-04T13:15-07:00,100.0
2022-01-04T13:30-07:00,100.0
2022-01-04T13:45-07:00,100.0
2022-01-04T14:00-07:00,100.0
2022-01-04T14:15-07:00,100.0
2022-01-04T14:30-07:00,99.99999999999999
