t,v,r,s
2022-05-12T18:30:00.161-07:00,12023,0,0
2022-05-12T18:45:00.153-07:00,12027,0,0
2022-05-12T19:00:00.186-07:00,12037,0,0
2022-05-12T19:15:00.166-07:00,12037,0,0
2022-05-12T19:30:00.170-07:00,12038,0,0
2022-05-12T19:45:00.157-07:00,12038,0,0
2022-05-12T20:00:00.208-07:00,12039,0,0
2022-05-12T20:15:00.204-07:00,12039,0,0
2022-05-12T20:30:00.146-07:00,12040,0,0
2022-05-12T20:45:00.154-07:00,12041,0,0
2022-05-12T21:00:00.164-07:00,12041,0,0
2022-05-12T21:15:00.137-07:00,12042,0,0
2022-05-12T21:30:00.160-07:00,12042,0,0
2022-05-12T21:45:00.477-07:00,12043,0,0
2022-05-12T22:00:00.164-07:00,12043,0,0
2022-05-12T22:15:00.150-07:00,12044,0,0
2022-05-12T22:30:00.154-07:00,12045,0,0
2022-05-12T22:45:00.186-07:00,12045,0,0
2022-05-12T23:00:00.158-07:00,12046,0,0
2022-05-12T23:15:00.155-07:00,12046,0,0
2022-05-12T23:30:00.167-07:00,12047,0,0
2022-05-12T23:45:00.157-07:00,12047,0,0
2022-05-13T00:00:00.193-07:00,12048,0,0
2022-05-13T00:15:00.169-07:00,12049,0,0
2022-05-13T00:30:00.164-07:00,12049,0,0
2022-05-13T00:45:00.169-07:00,12050,0,0
2022-05-13T01:00:00.189-07:00,12050,0,0
2022-05-13T01:15:00.170-07:00,12051,0,0
2022-05-13T01:30:00.149-07:00,12051,0,0
2022-05-13T01:45:00.161-07:00,12052,0,0
2022-05-13T02:00:00.193-07:00,12053,0,0
2022-05-13T02:15:00.162-07:00,12053,0,0
2022-05-13T02:30:05.036-07:00,12054,0,0
2022-05-13T02:45:00.166-07:00,12054,0,0
2022-05-13T03:00:00.150-07:00,12055,0,0
2022-05-13T03:15:00.187-07:00,12055,0,0
2022-05-13T03:30:00.146-07:00,12056,0,0
2022-05-13T03:45:00.190-07:00,12057,0,0
2022-05-13T04:00:00.163-07:00,12057,0,0
2022-05-13T04:15:00.158-07:00,12058,0,0
2022-05-13T04:30:00.153-07:00,12058,0,0
2022-05-13T04:45:00.364-07:00,12059,0,0
2022-05-13T05:00:00.163-07:00,12059,0,0
2022-05-13T05:15:00.155-07:00,12060,0,0
2022-05-13T05:30:00.177-07:00,12061,0,0
2022-05-13T05:45:00.186-07:00,12061,0,0
2022-05-13T06:00:00.148-07:00,12062,0,0
2022-05-13T06:15:00.148-07:00,12062,0,0
2022-05-13T06:30:00.188-07:00,12063,0,0
2022-05-13T06:45:00.179-07:00,12063,0,0
2022-05-13T07:00:00.203-07:00,12064,0,0
2022-05-13T07:15:00.143-07:00,12065,0,0
2022-05-13T07:30:00.160-07:00,12065,0,0
2022-05-13T07:45:00.221-07:00,12066,0,0
2022-05-13T08:00:00.149-07:00,12066,0,0
2022-05-13T08:15:00.176-07:00,12067,0,0
2022-05-13T08:30:00.149-07:00,12067,0,0
2022-05-13T08:45:00.166-07:00,12068,0,0
2022-05-13T09:00:00.296-07:00,12069,0,0
2022-05-13T09:15:00.150-07:00,12069,0,0
2022-05-13T09:30:00.144-07:00,12070,0,0
2022-05-13T09:45:00.188-07:00,12070,0,0
2022-05-13T10:00:00.188-07:00,12071,0,0
2022-05-13T10:15:00.155-07:00,12071,0,0
