Single Line Building Name,Building String,Building code,Building Number,Caltech Building List Name,Substation,Jace,Meter Name (unmodified),Meter Name,Meter Description,Notes,Query Base,Measurements,Measurements Cleaned
Arms,arms,AR25,25,ARMS LABORATORY,Substation 1,AR25_1,EM_25_B2_2,EM_25_B2_2,E125 Meters AR25 Panel Principal,,https://192.168.10.104/webChart/query/data/history$3a$2fAR25_1$2fEM_25_B2_2_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Athenaeum,athenaeum,AT61,61,ATHENAEUM,Substation 1,SUG59_1,BTU_CHW_061_B1_1,BTU_CHW_Athenaeum,C042 Meters AT61 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fSUG59_1$2fBTU_CHW_Athenaeum_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Athenaeum,athenaeum,AT61,61,ATHENAEUM,Substation 1,SUG59_1,EM_61_1_1,EM_61_1_1,E003 Distribution Panel MSA,,https://192.168.10.104/webChart/query/data/history$3a$2fSUG59_1$2fEM_61_1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Athenaeum,athenaeum,AT61,61,ATHENAEUM,Substation 1,SUG59_1,EM_61_B1_1,EM_61_B1_1,E001 Meters Building AT61 Elevator,,https://192.168.10.104/webChart/query/data/history$3a$2fSUG59_1$2fEM_61_B1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Avery,avery,AV99,99,AVERY HOUSE,Substation 2,AV99_1,BTU_CHW_099_B1_1,BTU_CHW,C007 Meters AV99 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fAV99_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Avery,avery,AV99,99,AVERY HOUSE,Substation 2,AV99_1,BTU_HW_099_B1_1,BTU_HW,H004 Meters AV99 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fAV99_1$2fBTU_HW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Avery,avery,AV99,99,AVERY HOUSE,Substation 2,AV99_1,EM_99_B1_1,EM_99_B1_1,E004 Meters Building AV99,,https://192.168.10.104/webChart/query/data/history$3a$2fAV99_1$2fEM_99_B1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Avery,avery,AV99,99,AVERY HOUSE,Substation 2,AV99_1,EM_99_B1_2,EM_99_B1_2,E005 Meters Building AV99 Kitchen,,https://192.168.10.104/webChart/query/data/history$3a$2fAV99_1$2fEM_99_B1_2_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Baxter,baxter,BX77,77,BAXTER HALL,Substation 2,BX77_1,BTU_CHW_077_B1_1,BTU_CHW,C050 Meters BX77 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBX77_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Baxter,baxter,BX77,77,BAXTER HALL,Substation 2,BX77_1,BTU_HW_077_B1_1,BTU_HW,H028 Meters BX77 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBX77_1$2fBTU_HW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
