,amenity,geometry,addr:postcode,building,name,website,nodes,official_name,source,source_ref,created_by,building:levels,building:levels:underground,fee,parking,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,opening_hours,addr:housename,ways,type,wikidata,Osm Centroid Coords,Map Name,Single Line Building Name,Building String,OSM Raw Data Name,Building Number,Caltech Building List Name,Substation,Caltech Campus Map,New Building Name,Notes
0,,"POLYGON ((-118.1276021 34.1399352, -118.1276483 34.1399342, -118.1276529 34.139596, -118.1271156 34.1395954, -118.1271117 34.1399311, -118.1271604 34.1399329, -118.127158 34.1399554, -118.1276012 34.139957, -118.1276021 34.1399352))",,yes,Broad Center,,"[331387554, 7871804668, 331387555, 331387556, 331387558, 7871804666, 7871804665, 7871804669, 331387554]",Edythe and Eli Broad Center for the Biological Sciences,usgs_imagery;survey;image,AM909_DSCV2835,,,,,,,,,,,,,,,,,,"34.139774012459135,-118.12738225802445",Broad Center,Broad Center,broadCenter,Broad Center,96,BROAD CENTER FOR BIOLOGICAL SCIENCES,Substation 3,,,
1,,"POLYGON ((-118.1274137 34.1387127, -118.127414 34.1384585, -118.1271009 34.1384582, -118.1271005 34.1387124, -118.1274137 34.1387127))",,yes,Mead Laboratory,,"[331387942, 331387943, 331387944, 331387945, 331387942]",,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,"34.13858545676458,-118.12725727498085",Mead Laboratory,,,Mead Laboratory,73,MEAD LABORATORY,,No,,Demolished to make way for Resnick
2,,"POLYGON ((-118.127034 34.1387197, -118.1267919 34.1387198, -118.1267919 34.1387028, -118.1265357 34.1387005, -118.1265366 34.1383893, -118.1267963 34.1383857, -118.1267899 34.1381036, -118.1270368 34.138107, -118.127034 34.1387197))",,yes,Noyes Laboratory,,"[331388229, 331388230, 331388231, 331388232, 331388233, 331388234, 331388235, 331388236, 331388229]",,,,,3,,,,,,,,,,,,,,,,"34.13845844512298,-118.12682655490846",Noyes Laboratory,Noyes,noyes,Noyes Laboratory,72,NOYES LABORATORY,Substation 2,,,
3,,"POLYGON ((-118.1260808 34.1388239, -118.1257402 34.1388228, -118.1257428 34.1380025, -118.1260835 34.1380025, -118.1260808 34.1388239))",,yes,Beckman Behavioral Biology,,"[331388412, 331388413, 331388414, 331388415, 331388412]",,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,"34.138412905694146,-118.12591186310927",Beckman Behavioral Biology,Beckman Behavioral Biology,bbb,Beckman Laboratories,76,BECKMAN BEHAVIORAL BIOLOGY LABORATORY,Substation 2,,,
4,,"POLYGON ((-118.1253472 34.1388206, -118.1250146 34.1388228, -118.12502 34.1380025, -118.1253486 34.1380014, -118.1253472 34.1388206))",,yes,Baxter Lecture Hall & Ramo Auditorium,,"[331388602, 331388603, 331388604, 331388605, 331388602]",,,,,2,1,,,,,,,,,,,,,,,"34.138412650783046,-118.1251825602773",Baxter Lecture Hall & Ramo Auditorium,Baxter,baxter,Baxter Lecture Hall & Ramo Auditorium,77,BAXTER HALL,Substation 2,,,
5,,"POLYGON ((-118.1255359 34.1394003, -118.1255871 34.1393968, -118.1256365 34.1393848, -118.1256819 34.1393649, -118.1257215 34.1393378, -118.1257537 34.1393046, -118.1257771 34.1392667, -118.1257908 34.1392257, -118.1257942 34.1391832, -118.1257872 34.1391411, -118.1257701 34.139101, -118.1257435 34.1390645, -118.1257086 34.1390333, -118.1256668 34.1390085, -118.1256198 34.1389912, -118.1255696 34.1389822, -118.1255151 34.1389819, -118.1254617 34.1389913, -118.1254121 34.13901, -118.1253684 34.139037, -118.1253327 34.1390711, -118.1253066 34.1391108, -118.1252914 34.1391541, -118.1252878 34.1391992, -118.1252959 34.1392438, -118.1253153 34.139286, -118.1253452 34.1393238, -118.1253842 34.1393553, -118.1254304 34.1393793, -118.1254818 34.1393945, -118.1255359 34.1394003))",,yes,Beckman Auditorium,,"[331388743, 331388744, 331388745, 331388746, 331388747, 331388748, 331388749, 331388750, 331388751, 331388752, 331388753, 331388754, 331388755, 331388756, 331388757, 331388758, 331388759, 331388760, 331388761, 331388762, 331388763, 331388764, 331388765, 331388766, 331388767, 331388768, 331388769, 331388770, 331388771, 331388772, 331388743]",,,,,2,,,,,,,,,,,,,,,,"34.1391905720413,-118.12554104266647",Beckman Auditorium,Beckman Auditorium,beckmanAuditorium,Beckman Auditorium,91,BECCKMAN AUDITORIUM,Substation 2,,,
6,,"POLYGON ((-118.1250616 34.1399034, -118.124837 34.139903, -118.1248374 34.1397606, -118.1245543 34.1397606, -118.1245546 34.1399058, -118.1243279 34.1399062, -118.1243286 34.1396679, -118.1245352 34.139668, -118.1245352 34.1396249, -118.1248593 34.1396249, -118.1248603 34.1396688, -118.1250643 34.1396704, -118.1250616 34.1399034))",,yes,Moore Laboratory,,"[331388832, 331388833, 331388834, 331388835, 331388836, 331388837, 331388838, 331388839, 331388840, 331388841, 331388842, 331388843, 331388832]",,,,,,2,,,,,,,,,,,,,,,"34.13976033193279,-118.12469397916183",Moore Laboratory,Moore,moore,Moore Laboratory,93,MOORE LABORATORY,Substation 2,,,
7,,"POLYGON ((-118.124844 34.1386775, -118.1246589 34.1386753, -118.1246629 34.1380037, -118.124848 34.1380015, -118.1248467 34.1382302, -118.124844 34.1386775))",,yes,Keck Laboratories,,"[331388869, 331388870, 331388871, 331388872, 3704238326, 331388869]",,,,,2,,,,,,,,,,,,,,,,"34.138339502665104,-118.12475356405449",Keck Laboratories,Keck Lab,keckLab,Keck Laboratories,78,KECK LABORATORY,Substation 2,,,
8,,"POLYGON ((-118.1242874 34.1388396, -118.1240956 34.1388407, -118.1240956 34.1388218, -118.1239602 34.1388218, -118.1239562 34.1386997, -118.1241064 34.1387019, -118.1241064 34.1384144, -118.1242928 34.1384155, -118.1242874 34.1388396))",,yes,Steele Laboratories,,"[331388983, 3704238354, 3704238355, 331388984, 331388985, 331388986, 331388987, 331388988, 331388983]",,,,,,,,,,,,,,,,,,,,,"34.13865198975658,-118.12416702673448",Steele Laboratories,Steele,steele,Steele Laboratories,81,STEELE LABORATORY,Substation 2,,,Different from Steele House
9,,"POLYGON ((-118.1242861 34.1380015, -118.1242807 34.1383501, -118.1240889 34.1383501, -118.124093 34.1380037, -118.1242861 34.1380015))",,yes,Powell-Booth Laboratory for Computational Science,,"[331388992, 331388993, 331388994, 331388995, 331388992]",,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,"34.13817615831805,-118.12418727880956",Powell-Booth Laboratory for Computational Science,Powell Booth,powellBooth,Powell-Booth Laboratory for Computational Science,79,POWELL-BOOTH CENTER,Substation 2,,,
