,Unnamed: 0,Single Line Building Name,Building String,Build 3-letter code,Building Number,Caltech Building List Name,Jaces,Substation,New Building Name,Notes,Unnamed: 0.1,name,building,type,geometry
54,47,Avery,Avery,,99,AVERY HOUSE,,Substation 2,,,1.0,Avery House,yes,multipolygon,"POLYGON ((-118.123512 34.14078, -118.1238632 34.1407811, -118.1238743 34.140202, -118.1237478 34.1402012, -118.1237464 34.140349, -118.123711 34.140349, -118.1236817 34.140373, -118.1236816 34.1403979, -118.1235645 34.1403972, -118.1235642 34.1404924, -118.1236661 34.1404937, -118.1236659 34.1405086, -118.1237134 34.140509, -118.1237148 34.1406378, -118.1235498 34.1406378, -118.1235511 34.1405523, -118.1234868 34.1405523, -118.1234868 34.1405723, -118.1232519 34.1405726, -118.1232514 34.1403125, -118.1233455 34.1403125, -118.1233454 34.1403951, -118.1233892 34.1403954, -118.1233892 34.1403768, -118.1234445 34.1403763, -118.1234441 34.1401939, -118.1231629 34.1401935, -118.1231637 34.1401526, -118.1230925 34.1401524, -118.1230921 34.1402131, -118.12312 34.1402132, -118.1231154 34.1405155, -118.123166 34.140516, -118.1231654 34.1405553, -118.1231181 34.1405547, -118.1231151 34.1407026, -118.123101 34.1407024, -118.1231004 34.1407357, -118.1231486 34.1407362, -118.1231488 34.1407209, -118.123263 34.1407222, -118.1232633 34.1407105, -118.1235122 34.1407131, -118.123512 34.14078))"
55,48,Baxter,baxter,,77,BAXTER HALL,,Substation 2,,,15.0,Baxter Lecture Hall & Ramo Auditorium,yes,,"POLYGON ((-118.1253472 34.1388206, -118.1253486 34.1380014, -118.12502 34.1380025, -118.1250146 34.1388228, -118.1253472 34.1388206))"
56,49,Beckman Behavioral Biology,bbb,,76,BECKMAN BEHAVIORAL BIOLOGY LABORATORY,,Substation 2,,,,Beckman Laboratories,yes,,"POLYGON ((-118.1260808 34.1388239, -118.1260835 34.1380025, -118.1257428 34.1380025, -118.1257402 34.1388228, -118.1260808 34.1388239))"
57,50,Braun Lab,braunLab,,75,BRAUN LABORATORIES,,Substation 2,,,37.0,Braun Labs,yes,,"POLYGON ((-118.1275996 34.1383928, -118.1275986 34.1382479, -118.1276593 34.1382483, -118.1276603 34.1379272, -118.1276001 34.1379269, -118.1275997 34.1377823, -118.1272469 34.1377813, -118.1272452 34.1383926, -118.1275996 34.1383928))"
58,51,900KW Fuel Cell Hill Ave,,,,,,Substation 2,,,240.0,Keck Center,yes,,"POLYGON ((-118.1266418 34.1399525, -118.1266404 34.1397501, -118.1265015 34.1397508, -118.1265011 34.1396835, -118.1264065 34.139684, -118.1264085 34.1399637, -118.1264588 34.1399635, -118.1264587 34.1399534, -118.1266418 34.1399525))"
59,52,1MW Fuel Cell FC #1 Wilson Ave,,,,,,Substation 2,,Also in Substation 3,,,,,
60,53,Substation 3,substation3,,None,None,,Substation 3,,"Not in any list, only single line",,,,,
61,54,Schlinger,schlinger,,20,SCHLINGER LABORATORY,,Substation 3,,,38.0,Schlinger,yes,,"POLYGON ((-118.1265274 34.1383532, -118.1265287 34.1383177, -118.1265515 34.1383166, -118.1265556 34.1382045, -118.126569 34.1382034, -118.1265797 34.1381512, -118.1266012 34.1381501, -118.1266012 34.1381268, -118.1266427 34.1381235, -118.1266172 34.1379747, -118.1266508 34.1379681, -118.1266441 34.1379281, -118.1262136 34.1379758, -118.1261693 34.1380258, -118.1261371 34.1381013, -118.1261412 34.1381235, -118.126168 34.1381246, -118.1261707 34.1382078, -118.1261975 34.1382089, -118.1261988 34.13831, -118.1261666 34.1383111, -118.126168 34.1383588, -118.1265274 34.1383532))"
62,55,Beckman Institute,beckmanInstitute,,74,BECKMAN INSTITUTE,,Substation 3,,,0.0,Beckman Institute,yes,multipolygon,"POLYGON ((-118.1264399 34.1388777, -118.1264375 34.1391997, -118.1264369 34.1395203, -118.1270055 34.1395225, -118.127007 34.1391986, -118.1270094 34.1388802, -118.1264399 34.1388777), (-118.1265921 34.1392709, -118.1265925 34.1392011, -118.1265931 34.1391236, -118.1266384 34.139087, -118.1268085 34.1390865, -118.1268524 34.1391243, -118.1268507 34.1392741, -118.1268039 34.1393112, -118.1266405 34.1393107, -118.1265921 34.1392709))"
63,56,Resnick,resnick,,19,RESNICK SUSTAINABILITY RESOURCE CENTER,,Substation 3,,Under construction,,,,,
