,Unnamed: 0,Single Line Building Name,Building String,Build 3-letter code,Building Number,Caltech Building List Name,Jaces,Substation,New Building Name,Notes,Unnamed: 0.1,name,building,type,geometry
22,21,Millikan,millikan,,32,MILLIKAN LIBRARY,,Substation 1,Caltech Hall,,58.0,Millikan Library,yes,,"POLYGON ((-118.1262663 34.1369737, -118.1262657 34.1369055, -118.1262751 34.1369056, -118.1262752 34.136915, -118.1263152 34.1369153, -118.1263112 34.1368951, -118.1263095 34.1368749, -118.1263103 34.1368538, -118.1263143 34.1368335, -118.1262758 34.1368337, -118.1262758 34.1368418, -118.1262661 34.1368417, -118.1262663 34.1367729, -118.1260107 34.1367742, -118.126011 34.1368044, -118.1260107 34.1368365, -118.1259782 34.1368364, -118.1259781 34.1368552, -118.1259578 34.1368552, -118.1259574 34.1368464, -118.125911 34.1368079, -118.125845 34.1368083, -118.1258009 34.1368458, -118.1258009 34.1368996, -118.1258465 34.1369376, -118.1259107 34.1369383, -118.1259561 34.1369018, -118.1259562 34.1368878, -118.1259825 34.1368878, -118.1259825 34.1369063, -118.1260107 34.1369061, -118.1260107 34.1369421, -118.1260107 34.1369728, -118.1262663 34.1369737))"
23,22,Kerckhoff/Alles,kerckhoffAlles,,"027, 027A, 028","KERCKHOFF LABORATORY, KERCKHOFF ANNEX, ALLES LABORATORY",,Substation 1,,Combines 3 buildings in Caltech building list,40.0,Kerckhoff,yes,,"POLYGON ((-118.1275993 34.1371962, -118.1276046 34.1370397, -118.1264365 34.1370352, -118.1264332 34.137191, -118.126456 34.1371901, -118.1267021 34.1371906, -118.1266981 34.1372661, -118.1268402 34.1372672, -118.1268429 34.1371918, -118.1271232 34.137194, -118.1272895 34.1371929, -118.1275993 34.1371962))"
24,22,Kerckhoff/Alles,kerckhoffAlles,,"027, 027A, 028","KERCKHOFF LABORATORY, KERCKHOFF ANNEX, ALLES LABORATORY",,Substation 1,,Combines 3 buildings in Caltech building list,42.0,Alles,yes,,"POLYGON ((-118.1271171 34.1374476, -118.1272848 34.1374476, -118.1272895 34.1371929, -118.1271232 34.137194, -118.1271171 34.1374476))"
25,23,Kellogg,kellogg,,38,KELLOGG LABORATORY,,Substation 1,,,52.0,Kellogg,yes,,"POLYGON ((-118.1252725 34.1365479, -118.1252698 34.1363992, -118.1250225 34.1364028, -118.1250209 34.1365465, -118.1252725 34.1365479))"
26,24,Linde Hall,lindeHall,,37,LINDE HALL,,Substation 1,,,,,,,
27,25,South Undergraduate Houses,sugHouses,,,,,Substation 1,,Combines multiple buildings,8.0,Fleming House,yes,multipolygon,"POLYGON ((-118.123078 34.1367686, -118.123194 34.1367691, -118.1231947 34.1367286, -118.1233569 34.1367324, -118.123358 34.1367413, -118.123358 34.1367623, -118.123477 34.1367613, -118.1234763 34.1367275, -118.1235628 34.1367286, -118.1235709 34.1363903, -118.1235509 34.1363899, -118.1235159 34.1363892, -118.1233872 34.1363881, -118.1233025 34.1363877, -118.1232209 34.136387, -118.1230794 34.1363873, -118.1230794 34.1364855, -118.1230753 34.1366849, -118.123078 34.1367686), (-118.1232278 34.136495, -118.1234454 34.1364943, -118.1234462 34.1366319, -118.1232286 34.1366312, -118.1232278 34.136495))"
28,25,South Undergraduate Houses,sugHouses,,,,,Substation 1,,Combines multiple buildings,9.0,Ricketts House,yes,multipolygon,"POLYGON ((-118.1226868 34.1363884, -118.1224669 34.1363861, -118.1224669 34.1363068, -118.1223341 34.1363079, -118.1223328 34.1364872, -118.1224025 34.1364872, -118.1223985 34.1367619, -118.1225289 34.1367627, -118.1225292 34.1367303, -118.1226899 34.1367317, -118.122691 34.1367708, -118.1228061 34.1367709, -118.1228062 34.1364849, -118.1228068 34.1363911, -118.1226868 34.1363884), (-118.1226938 34.1366302, -118.1225354 34.1366293, -118.1225366 34.1364925, -118.122693 34.1364931, -118.1226938 34.1366302))"
29,25,South Undergraduate Houses,sugHouses,,,,,Substation 1,,Combines multiple buildings,27.0,Dabney House,yes,,"POLYGON ((-118.1232232 34.136256, -118.1233855 34.136256, -118.1233869 34.1363881, -118.1235156 34.1363892, -118.1235129 34.1361206, -118.1233936 34.1361261, -118.1233828 34.1361339, -118.1231906 34.1361329, -118.1231904 34.1361164, -118.1230844 34.1361147, -118.1230824 34.1361947, -118.1229443 34.1361947, -118.1229443 34.1362946, -118.1230791 34.1362951, -118.1230791 34.1363873, -118.1232206 34.136387, -118.1232232 34.136256))"
29,25,South Undergraduate Houses,sugHouses,,,,,Substation 1,,Combines multiple buildings,27.0,Dabney House,yes,,"POLYGON ((-118.1232232 34.136256, -118.1233855 34.136256, -118.1233869 34.1363881, -118.1235156 34.1363892, -118.1235129 34.1361206, -118.1233936 34.1361261, -118.1233828 34.1361339, -118.1231906 34.1361329, -118.1231904 34.1361164, -118.1230844 34.1361147, -118.1230824 34.1361947, -118.1229443 34.1361947, -118.1229443 34.1362946, -118.1230791 34.1362951, -118.1230791 34.1363873, -118.1232206 34.136387, -118.1232232 34.136256))"
30,25,South Undergraduate Houses,sugHouses,,,,,Substation 1,,Combines multiple buildings,28.0,Blacker House,yes,,"POLYGON ((-118.1226868 34.1363884, -118.1228068 34.1363911, -118.1228068 34.1362951, -118.1229443 34.1362946, -118.1229443 34.1361947, -118.1228028 34.1361902, -118.1228008 34.136102, -118.1226928 34.1361009, -118.1226928 34.1361297, -118.122461 34.1361257, -118.122424 34.1361214, -118.1223361 34.136117, -118.1223341 34.1363079, -118.1224669 34.1363068, -118.1224669 34.1362474, -118.1226667 34.1362479, -118.122666 34.1362885, -118.1226855 34.1362896, -118.1226868 34.1363884))"
31,26,Athenaeum,athenaeum,,61,ATHENAEUM,,Substation 1,,,2.0,The Athenaeum,yes,multipolygon,"POLYGON ((-118.1217554 34.1365496, -118.1217568 34.1366717, -118.1214979 34.1366728, -118.1214979 34.1367805, -118.1215583 34.1367827, -118.121556 34.1369331, -118.1214939 34.1369326, -118.1214979 34.1370347, -118.122025 34.1370369, -118.122025 34.1369359, -118.1219499 34.1369348, -118.1219472 34.1367794, -118.1220223 34.1367783, -118.1220209 34.136675, -118.1218721 34.1366706, -118.1218721 34.1365496, -118.1217554 34.1365496), (-118.1218902 34.1369187, -118.1217474 34.1369187, -118.121746 34.1368004, -118.1218922 34.136801, -118.1218902 34.1369187))"
32,27,Chandler,chandler,,52,CHANDLER DINING HALL,,Substation 1,Lee F. Browne Dining Hall,,63.0,Browne Cafe,yes,,"POLYGON ((-118.1235967 34.137472, -118.1234291 34.1374731, -118.1234278 34.1375242, -118.1233406 34.1375242, -118.1231689 34.1375264, -118.1231703 34.137482, -118.1230254 34.1374798, -118.1228504 34.1374811, -118.1228498 34.1376119, -118.1228122 34.1376108, -118.1228122 34.1376507, -118.1229517 34.1376519, -118.1229517 34.1376685, -118.1230925 34.1376696, -118.1230911 34.1376852, -118.123185 34.137684, -118.123185 34.1377728, -118.1234921 34.1377728, -118.1234921 34.137744, -118.1235552 34.1377451, -118.1235565 34.1376996, -118.1235941 34.1377018, -118.1235964 34.1374988, -118.1235967 34.137472))"
33,28,Athenaeum Elevator,athenaeumElevator,,,,,Substation 1,,,,,,,
34,29,North Undergraduate Houses Lloyd,chandler,,,,,Substation 1,,Combines multiple buildings,24.0,Ruddock House,yes,,"POLYGON ((-118.1223147 34.1371401, -118.122316 34.1374199, -118.1225239 34.1374199, -118.1225252 34.1376097, -118.1228122 34.1376108, -118.1228498 34.1376119, -118.1228504 34.1374811, -118.1228524 34.1374576, -118.1226969 34.1374576, -118.1226969 34.13728, -118.1224863 34.1372789, -118.1224836 34.1371412, -118.1223147 34.1371401))"
35,29,North Undergraduate Houses Lloyd,chandler,,,,,Substation 1,,Combines multiple buildings,25.0,Lloyd House,yes,,"POLYGON ((-118.1225507 34.1369392, -118.122552 34.1370824, -118.1227934 34.1370857, -118.1227948 34.1373066, -118.1228524 34.1373077, -118.1228524 34.1374576, -118.1228504 34.1374811, -118.1230254 34.1374798, -118.1230254 34.1372645, -118.1229691 34.1372633, -118.1229678 34.1369392, -118.1225507 34.1369392))"
36,29,North Undergraduate Houses Lloyd,chandler,,,,,Substation 1,,Combines multiple buildings,26.0,Page House,yes,,"POLYGON ((-118.123173 34.1369448, -118.1231703 34.137482, -118.1231689 34.1375264, -118.1233406 34.1375242, -118.1233419 34.1373089, -118.1234157 34.13731, -118.1234157 34.1373721, -118.12359 34.1373721, -118.1235914 34.1371712, -118.123346 34.1371679, -118.1233433 34.1369437, -118.123173 34.1369448))"
37,30,Substation 2,substation2,,None,None,,Substation 2,,"Not in any list, only single line",,,,,
38,31,Beckman Auditorium,beckmanAuditorium,,91,BECCKMAN AUDITORIUM,,Substation 2,,,16.0,Beckman Auditorium,yes,,"POLYGON ((-118.1255359 34.1394003, -118.1255871 34.1393968, -118.1256365 34.1393848, -118.1256819 34.1393649, -118.1257215 34.1393378, -118.1257537 34.1393046, -118.1257771 34.1392667, -118.1257908 34.1392257, -118.1257942 34.1391832, -118.1257872 34.1391411, -118.1257701 34.139101, -118.1257435 34.1390645, -118.1257086 34.1390333, -118.1256668 34.1390085, -118.1256198 34.1389912, -118.1255696 34.1389822, -118.1255151 34.1389819, -118.1254617 34.1389913, -118.1254121 34.13901, -118.1253684 34.139037, -118.1253327 34.1390711, -118.1253066 34.1391108, -118.1252914 34.1391541, -118.1252878 34.1391992, -118.1252959 34.1392438, -118.1253153 34.139286, -118.1253452 34.1393238, -118.1253842 34.1393553, -118.1254304 34.1393793, -118.1254818 34.1393945, -118.1255359 34.1394003))"
39,32,President Residence,presidentResidence,,220,HILL 415-PRES RES,,Substation 2,,,,,,,
40,33,Physical Plant & HR,physicalPlantHR,,84,HUMAN RESOURCES AND FACILITIES SHOPS,,Substation 2,,,33.0,HR,yes,,"POLYGON ((-118.1234586 34.1388421, -118.123459 34.1382864, -118.123496 34.1382864, -118.1234961 34.1381069, -118.1236419 34.138107, -118.123642 34.1379627, -118.1231275 34.1379625, -118.1231274 34.1381082, -118.1233319 34.1381083, -118.1233318 34.1382185, -118.123013 34.1382183, -118.1230129 34.1383971, -118.1230757 34.1383971, -118.1230756 34.1386583, -118.1230128 34.1386583, -118.1230126 34.1388418, -118.1234586 34.1388421))"
41,34,Center for Engineering Services,ces,,85,CENTRAL ENGINEERING SERVICES,,Substation 2,,,32.0,Central Engineering,yes,,"POLYGON ((-118.1237604 34.1395256, -118.1237617 34.1391837, -118.1236933 34.1391837, -118.1236946 34.1391171, -118.123645 34.1391137, -118.1236437 34.1390449, -118.123417 34.1390449, -118.1234137 34.1390681, -118.1233245 34.1390716, -118.1233245 34.1392203, -118.123059 34.1392192, -118.1230563 34.1393779, -118.1230885 34.1393779, -118.1230898 34.13949, -118.123645 34.1394934, -118.1236464 34.1395278, -118.1237604 34.1395256))"
