t,kvaA,kvaB,kvaC
2022-06-01T07:45-07:00,2147.7430013854078,0.0,5983.080839612092
2022-06-01T08:00-07:00,1939.8969044771427,0.0,5542.562584220408
2022-06-01T08:15-07:00,2217.025033688163,0.0,5983.080839612092
2022-06-01T08:30-07:00,2286.307065990918,0.0,5843.939424737392
2022-06-01T08:45-07:00,2355.589098293673,0.0,6122.222254486792
2022-06-01T09:00-07:00,3879.7938089542854,0.0,9006.664199358162
2022-06-01T09:15-07:00,2584.797155161955,0.0,5983.080839612092
2022-06-01T09:30-07:00,2654.6565377338993,0.0,6539.646499110891
2022-06-01T09:45-07:00,3003.953450593623,0.0,6400.505084236192
2022-06-01T10:00-07:00,3423.1097460252913,0.0,6985.9382571944725
2022-06-01T10:15-07:00,3671.94771204602,0.0,6512.511036458979
2022-06-01T10:30-07:00,4191.562954316683,0.0,6817.929328860291
2022-06-01T10:45-07:00,4156.921938165306,0.0,6512.511036458979
2022-06-01T11:00-07:00,4401.141102032518,0.0,6985.9382571944725
2022-06-01T11:15-07:00,3981.984806600849,0.0,6007.906901187246
2022-06-01T11:30-07:00,4680.5786323202965,0.0,6453.621309001637
2022-06-01T11:45-07:00,3702.54727631307,0.0,5983.080839612092
2022-06-01T12:00-07:00,4331.281719460573,0.0,6287.344431475025
2022-06-01T12:15-07:00,4051.844189172794,0.0,6593.917424414716
2022-06-01T12:30-07:00,5029.87554518002,0.0,7125.6570223383615
2022-06-01T12:45-07:00,4680.5786323202965,0.0,9461.616211479588
2022-06-01T13:00-07:00,4401.141102032518,0.0,7575.99023230627
2022-06-01T13:15-07:00,4331.281719460573,0.0,7405.09455262614
2022-06-01T13:30-07:00,4191.562954316683,0.0,6706.500726906694
2022-06-01T13:45-07:00,3981.984806600849,0.0,6985.9382571944725
2022-06-01T14:00-07:00,3702.54727631307,0.0,6706.500726906694
2022-06-01T14:15-07:00,4155.7672376269265,0.0,7014.805770653953
2022-06-01T14:30-07:00,3981.984806600849,0.0,6427.063196618914
2022-06-01T14:45-07:00,4540.859867176407,0.0,7435.694116893191
2022-06-01T15:00-07:00,4051.844189172794,0.0,6706.500726906694
2022-06-01T15:15-07:00,4401.141102032518,0.0,7856.582463132428
2022-06-01T15:30-07:00,3912.1254240289045,0.0,6846.219492050583
2022-06-01T15:45-07:00,4331.281719460573,0.0,7235.353573484391
2022-06-01T16:00-07:00,3772.406658885015,0.0,6566.781961762804
2022-06-01T16:15-07:00,3143.6722157375125,0.0,7265.375787482251
2022-06-01T16:30-07:00,3283.390980881402,0.0,7684.532082913919
2022-06-01T16:45-07:00,3256.2555182294896,0.0,7931.060647857889
2022-06-01T17:00-07:00,3423.1097460252913,0.0,7405.09455262614
2022-06-01T17:15-07:00,3394.819582835,0.0,7235.353573484391
2022-06-01T17:30-07:00,3394.819582835,0.0,7066.76729488102
2022-06-01T17:45-07:00,3048.4094213212243,0.0,6539.646499110891
2022-06-01T18:00-07:00,3423.1097460252913,0.0,7265.375787482251
2022-06-01T18:15-07:00,2514.93777259001,0.0,5843.939424737392
2022-06-01T18:30-07:00,2584.797155161955,0.0,6122.222254486792
2022-06-01T18:45-07:00,2235.500242302231,0.0,5704.798009862692
2022-06-01T19:00-07:00,2305.359624874176,0.0,6287.344431475025
2022-06-01T19:15-07:00,1956.0627120144522,0.0,5565.656594987992
2022-06-01T19:30-07:00,2355.589098293673,0.0,5704.798009862692
2022-06-01T19:45-07:00,2217.025033688163,0.0,5565.656594987992
2022-06-01T20:00-07:00,2632.7172275046937,0.0,5843.939424737392
2022-06-01T20:15-07:00,2355.589098293673,0.0,5565.656594987992
2022-06-01T20:30-07:00,2355.589098293673,0.0,5983.080839612092
2022-06-01T20:45-07:00,2375.2190074461205,0.0,5704.798009862692
2022-06-01T21:00-07:00,2305.359624874176,0.0,5704.798009862692
2022-06-01T21:15-07:00,2445.0783900180654,0.0,5728.469370899467
2022-06-01T21:30-07:00,2305.359624874176,0.0,5565.656594987992
2022-06-01T21:45-07:00,2235.500242302231,0.0,5611.844616523163
2022-06-01T22:00-07:00,2078.460969082653,0.0,5126.8703904038775
2022-06-01T22:15-07:00,2355.589098293673,0.0,5843.939424737392
2022-06-01T22:30-07:00,2078.460969082653,0.0,5542.562584220408
2022-06-01T22:45-07:00,2355.589098293673,0.0,5819.690713431428
2022-06-01T23:00-07:00,3394.819582835,0.0,7759.587617908571
2022-06-01T23:15-07:00,2375.2190074461205,0.0,5728.469370899467
2022-06-01T23:30-07:00,1939.8969044771427,0.0,5009.090935489194
2022-06-01T23:45-07:00,2355.589098293673,0.0,5681.126648825918
2022-06-02T00:00-07:00,2009.1789367798979,0.0,4988.306325798367
2022-06-02T00:15-07:00,2217.025033688163,0.0,5958.254778036939
2022-06-02T00:30-07:00,1956.0627120144522,0.0,5148.232350363894
2022-06-02T00:45-07:00,2217.025033688163,0.0,5958.254778036939
2022-06-02T01:00-07:00,2355.589098293673,0.0,5958.254778036939
2022-06-02T01:15-07:00,2514.93777259001,0.0,6122.222254486792
2022-06-02T01:30-07:00,2355.589098293673,0.0,6122.222254486792
2022-06-02T01:45-07:00,2305.359624874176,0.0,6007.906901187246
2022-06-02T02:00-07:00,2305.359624874176,0.0,6261.363669361492
2022-06-02T02:15-07:00,1939.8969044771427,0.0,5403.998519614897
2022-06-02T02:30-07:00,2235.500242302231,0.0,6400.505084236192
2022-06-02T02:45-07:00,2009.1789367798979,0.0,5426.515180113292
2022-06-02T03:00-07:00,2217.025033688163,0.0,5958.254778036939
2022-06-02T03:15-07:00,3533.38364744051,0.0,8036.7157471195915
2022-06-02T03:30-07:00,2286.307065990918,0.0,6096.8188426424485
