t,pu
2022-06-01T07:45-07:00,120.75552084072999
2022-06-01T08:00-07:00,122.22222222222223
2022-06-01T08:15-07:00,118.89037527282971
2022-06-01T08:30-07:00,115.63698338304218
2022-06-01T08:45-07:00,116.64396622173793
2022-06-01T09:00-07:00,109.6774193548387
2022-06-01T09:15-07:00,109.49460916442047
2022-06-01T09:30-07:00,113.38147566718997
2022-06-01T09:45-07:00,104.17459635336728
2022-06-01T10:00-07:00,101.34228187919462
2022-06-01T10:15-07:00,100.0
2022-06-01T10:30-07:00,99.99999999999999
2022-06-01T10:45-07:00,100.0
2022-06-01T11:00-07:00,99.99999999999999
2022-06-01T11:15-07:00,100.00000000000001
2022-06-01T11:30-07:00,99.99999999999999
2022-06-01T11:45-07:00,100.0
2022-06-01T12:00-07:00,100.00000000000001
2022-06-01T12:15-07:00,99.99999999999999
2022-06-01T12:30-07:00,100.0
2022-06-01T12:45-07:00,100.7103490508267
2022-06-01T13:00-07:00,100.0
2022-06-01T13:15-07:00,100.0
2022-06-01T13:30-07:00,100.0
2022-06-01T13:45-07:00,99.99999999999999
2022-06-01T14:00-07:00,100.00000000000001
2022-06-01T14:15-07:00,99.99999999999999
2022-06-01T14:30-07:00,100.00000000000001
2022-06-01T14:45-07:00,100.0
2022-06-01T15:00-07:00,99.99999999999999
2022-06-01T15:15-07:00,100.0
2022-06-01T15:30-07:00,99.99999999999999
2022-06-01T15:45-07:00,100.0
2022-06-01T16:00-07:00,99.99999999999999
2022-06-01T16:15-07:00,109.3959731543624
2022-06-01T16:30-07:00,110.19108280254778
2022-06-01T16:45-07:00,112.67998142127264
2022-06-01T17:00-07:00,105.16129032258063
2022-06-01T17:15-07:00,104.19291766239411
2022-06-01T17:30-07:00,102.64900662251655
2022-06-01T17:45-07:00,104.61853435298366
2022-06-01T18:00-07:00,103.92156862745098
2022-06-01T18:15-07:00,109.73891421467053
2022-06-01T18:30-07:00,110.94091903719912
2022-06-01T18:45-07:00,115.53842797934999
2022-06-01T19:00-07:00,119.51219512195122
2022-06-01T19:15-07:00,121.98342032545284
2022-06-01T19:30-07:00,112.3271971921782
2022-06-01T19:45-07:00,114.54005934718101
2022-06-01T20:00-07:00,106.82468328565591
2022-06-01T20:15-07:00,110.78717201166182
2022-06-01T20:30-07:00,115.25306376791528
2022-06-01T20:45-07:00,111.81136120042872
2022-06-01T21:00-07:00,113.65864206429289
2022-06-01T21:15-07:00,110.25641025641026
2022-06-01T21:30-07:00,112.1323259737402
2022-06-01T21:45-07:00,114.53796350794583
2022-06-01T22:00-07:00,113.46153846153847
2022-06-01T22:15-07:00,113.8149556400507
2022-06-01T22:30-07:00,118.18181818181819
2022-06-01T22:45-07:00,113.55932203389831
2022-06-01T23:00-07:00,108.69565217391305
2022-06-01T23:15-07:00,112.06896551724135
2022-06-01T23:30-07:00,116.25124626121635
2022-06-01T23:45-07:00,112.06896551724138
2022-06-02T00:00-07:00,113.86138613861387
2022-06-02T00:15-07:00,118.64406779661017
2022-06-02T00:30-07:00,117.3994311255587
2022-06-02T00:45-07:00,118.64406779661017
2022-06-02T01:00-07:00,115.0
2022-06-02T01:15-07:00,112.64705882352939
2022-06-02T01:30-07:00,116.64396622173793
2022-06-02T01:45-07:00,116.80672268907561
2022-06-02T02:00-07:00,119.26809543065103
2022-06-02T02:15-07:00,120.75471698113208
2022-06-02T02:30-07:00,122.34255916566386
2022-06-02T02:45-07:00,118.93780573025856
2022-06-02T03:00-07:00,118.64406779661017
2022-06-02T03:15-07:00,108.38323353293413
2022-06-02T03:30-07:00,118.18181818181819
2022-06-02T03:45-07:00,115.78607727676052
2022-06-02T04:00-07:00,108.52904820766378
2022-06-02T04:15-07:00,113.86138613861388
2022-06-02T04:30-07:00,114.16805144136981
2022-06-02T04:45-07:00,117.89525128288669
2022-06-02T05:00-07:00,120.0
2022-06-02T05:15-07:00,115.13283740701381
2022-06-02T05:30-07:00,112.64705882352942
2022-06-02T05:45-07:00,115.38461538461539
2022-06-02T06:00-07:00,111.47540983606558
2022-06-02T06:15-07:00,113.65864206429289
2022-06-02T06:30-07:00,118.9840861597814
2022-06-02T06:45-07:00,117.69911504424779
2022-06-02T07:00-07:00,129.56521739130434
2022-06-02T07:15-07:00,123.88059701492536
2022-06-02T07:30-07:00,118.88834578590878
2022-06-02T07:45-07:00,117.53039420361044
2022-06-02T08:00-07:00,119.1304347826087
2022-06-02T08:15-07:00,120.06994365649894
2022-06-02T08:30-07:00,122.17537340098623
2022-06-02T08:45-07:00,126.15384615384617
2022-06-02T09:00-07:00,110.25641025641026
2022-06-02T09:15-07:00,102.81690140845072
2022-06-02T09:30-07:00,110.81081081081084
2022-06-02T09:45-07:00,108.59780727062895
2022-06-02T10:00-07:00,102.59740259740259
2022-06-02T10:15-07:00,103.65093981907803
2022-06-02T10:30-07:00,100.0
2022-06-02T10:45-07:00,100.0
2022-06-02T11:00-07:00,100.0
2022-06-02T11:15-07:00,100.0
2022-06-02T11:30-07:00,100.0
2022-06-02T11:45-07:00,99.99999999999999
2022-06-02T12:00-07:00,100.0
2022-06-02T12:15-07:00,100.0
2022-06-02T12:30-07:00,100.0
2022-06-02T12:45-07:00,100.0
2022-06-02T13:00-07:00,100.0
2022-06-02T13:15-07:00,100.0
2022-06-02T13:30-07:00,100.0
2022-06-02T13:45-07:00,101.33707421857873
2022-06-02T14:00-07:00,100.0
2022-06-02T14:15-07:00,100.0
2022-06-02T14:30-07:00,100.0
2022-06-02T14:45-07:00,100.0
2022-06-02T15:00-07:00,100.0
2022-06-02T15:15-07:00,100.0
2022-06-02T15:30-07:00,100.0
2022-06-02T15:45-07:00,100.0
2022-06-02T16:00-07:00,100.0
2022-06-02T16:15-07:00,100.0
2022-06-02T16:30-07:00,100.00000000000001
2022-06-02T16:45-07:00,100.0
2022-06-02T17:00-07:00,100.00000000000001
2022-06-02T17:15-07:00,100.0
2022-06-02T17:30-07:00,100.0
2022-06-02T17:45-07:00,100.0
2022-06-02T18:00-07:00,99.99999999999999
2022-06-02T18:15-07:00,100.0
2022-06-02T18:30-07:00,100.0
2022-06-02T18:45-07:00,100.00000000000001
2022-06-02T19:00-07:00,100.00000000000001
2022-06-02T19:15-07:00,100.00000000000001
2022-06-02T19:30-07:00,100.0
2022-06-02T19:45-07:00,100.0
2022-06-02T20:00-07:00,100.00000000000001
2022-06-02T20:15-07:00,100.0
2022-06-02T20:30-07:00,99.99999999999999
2022-06-02T20:45-07:00,100.0
2022-06-02T21:00-07:00,100.0
2022-06-02T21:15-07:00,100.0
2022-06-02T21:30-07:00,100.0
2022-06-02T21:45-07:00,100.00000000000001
2022-06-02T22:00-07:00,100.00000000000001
2022-06-02T22:15-07:00,99.99999999999999
2022-06-02T22:30-07:00,100.0
2022-06-02T22:45-07:00,100.0
2022-06-02T23:00-07:00,100.0
2022-06-02T23:15-07:00,99.99999999999999
2022-06-02T23:30-07:00,100.0
2022-06-02T23:45-07:00,100.0
2022-06-03T00:00-07:00,100.0
2022-06-03T00:15-07:00,100.00000000000001
2022-06-03T00:30-07:00,100.0
2022-06-03T00:45-07:00,100.0
2022-06-03T01:00-07:00,100.0
2022-06-03T01:15-07:00,100.0
2022-06-03T01:30-07:00,100.0
2022-06-03T01:45-07:00,100.0
2022-06-03T02:00-07:00,100.0
2022-06-03T02:15-07:00,100.0
2022-06-03T02:30-07:00,100.0
2022-06-03T02:45-07:00,100.0
2022-06-03T03:00-07:00,100.0
2022-06-03T03:15-07:00,100.0
2022-06-03T03:30-07:00,100.0
2022-06-03T03:45-07:00,100.0
2022-06-03T04:00-07:00,100.0
2022-06-03T04:15-07:00,100.0
2022-06-03T04:30-07:00,99.99999999999999
2022-06-03T04:45-07:00,100.0
2022-06-03T05:00-07:00,100.0
2022-06-03T05:15-07:00,100.0
2022-06-03T05:30-07:00,100.00000000000001
2022-06-03T05:45-07:00,99.99999999999999
2022-06-03T06:00-07:00,100.00000000000001
2022-06-03T06:15-07:00,100.0
2022-06-03T06:30-07:00,100.0
2022-06-03T06:45-07:00,101.15203247179612
2022-06-03T07:00-07:00,104.85714285714285
2022-06-03T07:15-07:00,114.92537313432835
2022-06-03T07:30-07:00,115.25306376791528
2022-06-03T07:45-07:00,125.6
2022-06-03T08:00-07:00,125.68807339449542
2022-06-03T08:15-07:00,122.81924159185317
2022-06-03T08:30-07:00,118.93780573025856
2022-06-03T08:45-07:00,104.44444444444444
2022-06-03T09:00-07:00,100.27472527472528
2022-06-03T09:15-07:00,100.00000000000001
2022-06-03T09:30-07:00,100.00000000000001
2022-06-03T09:45-07:00,100.27700831024933
2022-06-03T10:00-07:00,100.00000000000001
2022-06-03T10:15-07:00,100.0
2022-06-03T10:30-07:00,100.0
2022-06-03T10:45-07:00,100.0
2022-06-03T11:00-07:00,100.0
