t,v,s,r
2022-03-31T23:45:03.508-07:00,20.814064025878906,0,0
2022-04-01T00:00:01.131-07:00,88.37446594238281,0,0
2022-04-01T00:15:01.164-07:00,64.4894790649414,0,0
2022-04-01T00:30:01.154-07:00,119.08374786376953,0,0
2022-04-01T00:45:01.598-07:00,32.074134826660156,0,0
2022-04-01T01:00:01.294-07:00,26.95591926574707,0,0
2022-04-01T01:15:01.161-07:00,75.74954986572266,0,0
2022-04-01T01:30:01.061-07:00,99.29331970214844,0,0
2022-04-01T01:45:01.169-07:00,117.37767791748047,0,0
2022-04-01T02:00:00.095-07:00,41.62812805175781,0,0
2022-04-01T02:15:01.248-07:00,93.83389282226562,0,0
2022-04-01T02:30:01.186-07:00,4.776998043060303,0,0
2022-04-01T02:45:01.275-07:00,97.24604034423828,0,0
2022-04-01T03:00:01.192-07:00,126.93167114257812,0,0
2022-04-01T03:15:01.178-07:00,125.90803527832031,0,0
2022-04-01T03:30:01.207-07:00,46.746337890625,0,0
2022-04-01T03:45:01.112-07:00,203.02243041992188,0,0
2022-04-01T04:00:01.209-07:00,3.4121415615081787,0,0
2022-04-01T04:15:01.244-07:00,2.3884990215301514,0,0
2022-04-01T04:30:01.215-07:00,71.65497589111328,0,0
2022-04-01T04:45:01.225-07:00,117.37767791748047,0,0
2022-04-01T05:00:00.106-07:00,31.73291778564453,0,0
2022-04-01T05:15:01.199-07:00,4.094570159912109,0,0
2022-04-01T05:30:01.144-07:00,146.38087463378906,0,0
2022-04-01T05:45:01.163-07:00,132.73231506347656,0,0
2022-04-01T06:00:01.144-07:00,337.1195983886719,0,0
2022-04-01T06:15:01.114-07:00,152.52273559570312,0,0
2022-04-01T06:30:01.281-07:00,97.24604034423828,0,0
2022-04-01T06:45:01.129-07:00,157.6409454345703,0,0
2022-04-01T07:00:01.237-07:00,210.87034606933594,0,0
2022-04-01T07:15:01.138-07:00,13.648566246032715,0,0
2022-04-01T07:30:01.221-07:00,132.0498809814453,0,0
2022-04-01T07:45:01.184-07:00,109.87096405029297,0,0
2022-04-01T08:00:01.640-07:00,66.19554901123047,0,0
2022-04-01T08:15:01.164-07:00,139.89781188964844,0,0
2022-04-01T08:30:01.159-07:00,158.66458129882812,0,0
2022-04-01T08:45:01.099-07:00,209.50550842285156,0,0
2022-04-01T09:00:01.173-07:00,47.42877197265625,0,0
2022-04-01T09:15:01.287-07:00,262.3937072753906,0,0
2022-04-01T09:30:01.206-07:00,339.5080871582031,0,0
2022-04-01T09:45:01.115-07:00,243.96812438964844,0,0
2022-04-01T10:00:01.314-07:00,38.21598434448242,0,0
2022-04-01T10:15:01.131-07:00,152.1815185546875,0,0
2022-04-01T10:30:01.178-07:00,312.5521545410156,0,0
2022-04-01T10:45:01.215-07:00,277.06591796875,0,0
2022-04-01T11:00:00.098-07:00,60.3949089050293,0,0
2022-04-01T11:15:01.245-07:00,135.12081909179688,0,0
2022-04-01T11:30:01.160-07:00,228.95469665527344,0,0
2022-04-01T11:45:01.158-07:00,219.74192810058594,0,0
2022-04-01T12:00:01.246-07:00,67.90161895751953,0,0
2022-04-01T12:15:01.150-07:00,227.58985900878906,0,0
2022-04-01T12:30:01.142-07:00,315.2818908691406,0,0
2022-04-01T12:45:01.183-07:00,237.1438446044922,0,0
2022-04-01T13:00:01.131-07:00,124.20195770263672,0,0
2022-04-01T13:15:01.158-07:00,213.9412841796875,0,0
2022-04-01T13:30:01.134-07:00,402.9739074707031,0,0
2022-04-01T13:45:01.165-07:00,226.9074249267578,0,0
2022-04-01T14:00:00.087-07:00,24.226205825805664,0,0
2022-04-01T14:15:01.221-07:00,84.96232604980469,0,0
2022-04-01T14:30:01.249-07:00,290.7144775390625,0,0
2022-04-01T14:45:01.193-07:00,232.025634765625,0,0
2022-04-01T15:00:01.137-07:00,15.69585132598877,0,0
2022-04-01T15:15:01.211-07:00,153.88758850097656,0,0
2022-04-01T15:30:03.189-07:00,207.79942321777344,0,0
2022-04-01T15:45:01.200-07:00,125.90803527832031,0,0
2022-04-01T16:00:03.303-07:00,105.09396362304688,0,0
2022-04-01T16:15:01.199-07:00,119.08374786376953,0,0
2022-04-01T16:30:03.591-07:00,143.30995178222656,0,0
2022-04-01T16:45:01.246-07:00,133.75595092773438,0,0
2022-04-01T17:00:01.188-07:00,0.6824283599853516,0,0
2022-04-01T17:15:01.252-07:00,60.05369567871094,0,0
2022-04-01T17:30:01.256-07:00,32.41534423828125,0,0
2022-04-01T17:45:01.942-07:00,61.759765625,0,0
2022-04-01T18:00:01.121-07:00,113.96553802490234,0,0
2022-04-01T18:15:01.221-07:00,79.8441162109375,0,0
2022-04-01T18:30:01.191-07:00,41.28691482543945,0,0
2022-04-01T18:45:01.153-07:00,13.98978042602539,0,0
2022-04-01T19:00:01.167-07:00,86.32718658447266,0,0
2022-04-01T19:15:01.261-07:00,190.7387237548828,0,0
2022-04-01T19:30:01.194-07:00,46.06391143798828,0,0
2022-04-01T19:45:01.226-07:00,102.02303314208984,0,0
2022-04-01T20:00:01.261-07:00,133.4147491455078,0,0
2022-04-01T20:15:01.215-07:00,132.0498809814453,0,0
2022-04-01T20:30:01.192-07:00,40.26327133178711,0,0
2022-04-01T20:45:01.126-07:00,82.5738296508789,0,0
2022-04-01T21:00:01.234-07:00,336.4371643066406,0,0
2022-04-01T21:15:01.243-07:00,132.0498809814453,0,0
2022-04-01T21:30:01.210-07:00,140.23902893066406,0,0
2022-04-01T21:45:01.148-07:00,181.18472290039062,0,0
2022-04-01T22:00:01.180-07:00,231.3432159423828,0,0
