t,v
2022-03-31T23:45-07:00,293.23064575195315
2022-04-01T00:00-07:00,293.6014709472656
2022-04-01T00:15-07:00,293.651513671875
2022-04-01T00:30-07:00,293.5720153808594
2022-04-01T00:45-07:00,293.18495483398436
2022-04-01T01:00-07:00,293.5479431152344
2022-04-01T01:15-07:00,293.8164367675781
2022-04-01T01:30-07:00,293.787158203125
2022-04-01T01:45-07:00,293.99232177734376
2022-04-01T02:00-07:00,293.85997314453124
2022-04-01T02:15-07:00,293.6626831054688
2022-04-01T02:30-07:00,293.9151672363281
2022-04-01T02:45-07:00,293.8881408691406
2022-04-01T03:00-07:00,293.8019226074219
2022-04-01T03:15-07:00,293.6181945800781
2022-04-01T03:30-07:00,293.6939697265625
2022-04-01T03:45-07:00,293.76585083007814
2022-04-01T04:00-07:00,293.4344116210938
2022-04-01T04:15-07:00,293.4439208984375
2022-04-01T04:30-07:00,293.81611328125
2022-04-01T04:45-07:00,293.6048828125
2022-04-01T05:00-07:00,293.49036865234376
2022-04-01T05:15-07:00,293.980615234375
2022-04-01T05:30-07:00,294.0077209472656
2022-04-01T05:45-07:00,293.9822570800781
2022-04-01T06:00-07:00,293.0707641601563
2022-04-01T06:15-07:00,293.6845947265625
2022-04-01T06:30-07:00,293.7801513671875
2022-04-01T06:45-07:00,293.7149658203125
2022-04-01T07:00-07:00,293.9014831542969
2022-04-01T07:15-07:00,293.2987854003906
2022-04-01T07:30-07:00,294.03700561523436
2022-04-01T07:45-07:00,293.5358581542969
2022-04-01T08:00-07:00,293.41142578125
2022-04-01T08:15-07:00,293.16730346679685
2022-04-01T08:30-07:00,294.0197509765625
2022-04-01T08:45-07:00,293.5776062011719
2022-04-01T09:00-07:00,293.49420166015625
2022-04-01T09:15-07:00,293.4688659667969
2022-04-01T09:30-07:00,293.8996520996094
2022-04-01T09:45-07:00,294.12827758789064
2022-04-01T10:00-07:00,293.7537353515625
2022-04-01T10:15-07:00,293.7519165039063
2022-04-01T10:30-07:00,293.7401550292969
2022-04-01T10:45-07:00,293.5116455078125
2022-04-01T11:00-07:00,293.2070251464844
2022-04-01T11:15-07:00,293.5508544921875
2022-04-01T11:30-07:00,293.9462158203125
2022-04-01T11:45-07:00,294.07599487304685
2022-04-01T12:00-07:00,293.6349304199219
2022-04-01T12:15-07:00,293.9963317871094
2022-04-01T12:30-07:00,293.761572265625
2022-04-01T12:45-07:00,293.73243408203126
2022-04-01T13:00-07:00,293.3160888671875
2022-04-01T13:15-07:00,293.2455322265625
2022-04-01T13:30-07:00,293.6808166503906
2022-04-01T13:45-07:00,293.47255249023436
2022-04-01T14:00-07:00,293.3736328125
2022-04-01T14:15-07:00,293.3769958496094
2022-04-01T14:30-07:00,293.38396606445315
2022-04-01T14:45-07:00,293.3901733398437
2022-04-01T15:00-07:00,293.24497680664064
2022-04-01T15:15-07:00,293.308837890625
2022-04-01T15:30-07:00,293.1968688964844
2022-04-01T15:45-07:00,293.18950805664065
2022-04-01T16:00-07:00,293.4702880859375
2022-04-01T16:15-07:00,293.28175048828126
2022-04-01T16:30-07:00,293.573583984375
2022-04-01T16:45-07:00,293.8595336914062
2022-04-01T17:00-07:00,293.6735534667969
2022-04-01T17:15-07:00,293.9548828125
2022-04-01T17:30-07:00,293.6511169433594
2022-04-01T17:45-07:00,293.5813049316406
2022-04-01T18:00-07:00,293.80686645507814
2022-04-01T18:15-07:00,293.4027038574219
2022-04-01T18:30-07:00,293.20936889648436
2022-04-01T18:45-07:00,293.79962768554685
2022-04-01T19:00-07:00,293.92308349609374
2022-04-01T19:15-07:00,293.72958984375
2022-04-01T19:30-07:00,293.5130920410156
2022-04-01T19:45-07:00,293.36228637695314
2022-04-01T20:00-07:00,293.3939453125
2022-04-01T20:15-07:00,293.65692749023435
2022-04-01T20:30-07:00,293.6926513671875
2022-04-01T20:45-07:00,293.870849609375
2022-04-01T21:00-07:00,293.9986572265625
2022-04-01T21:15-07:00,293.9451416015625
2022-04-01T21:30-07:00,293.9014953613281
2022-04-01T21:45-07:00,294.0492309570312
2022-04-01T22:00-07:00,294.3951354980469
2022-04-01T22:15-07:00,294.0877990722656
